Title,Ratings,Book_format,Price,Cover
Machine Learning in Action,3.9 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/71E1BOlsqqL._AC_UY218_.jpg
Art in the Age of Machine Learning (Leonardo),5.0 out of 5 stars,Hardcover,£29.39,https://m.media-amazon.com/images/I/61XwrfLtGfL._AC_UY218_.jpg
Interpretable Machine Learning,3.9 out of 5 stars,Paperback,£34.52,https://m.media-amazon.com/images/I/71F62XqcSaL._AC_UY218_.jpg
Introduction au Machine Learning - 2e éd.,,Paperback,£19.83,https://m.media-amazon.com/images/I/71N--0ii3IL._AC_UY218_.jpg
Machine Learning for Asset Managers (Elements in Quantitative Finance),4.5 out of 5 stars,Paperback,£13.48,https://m.media-amazon.com/images/I/412eg+8kpHL._AC_UY218_.jpg
James May: Our Man In Japan - Season 1,4.3 out of 5 stars,Prime Video,,https://m.media-amazon.com/images/I/91SoCTBN95L._AC_UY218_.jpg
Data Mining: Practical Machine Learning Tools and Techniques (Morgan Kaufmann Series in Data Management Systems),4.3 out of 5 stars,Paperback,£46.37,https://m.media-amazon.com/images/I/61ANr+w9WQL._AC_UY218_.jpg
How to Draw Military Machines: Step-by-step instructions for 18 high-powered vehicles (Learn to Draw),4.1 out of 5 stars,,£3.99,https://m.media-amazon.com/images/I/51a5aNLapKL._AC_UY218_.jpg
This Little Piggy (Finger Puppet Nursery Rhyme Board Book with Pig puppet for ages 0 and up),4.7 out of 5 stars,Board book,£4.75,https://m.media-amazon.com/images/I/51vSq3YCN7L._AC_UY218_.jpg
Machine Learning for Smart Environments/Cities: An IoT Approach (Intelligent Systems Reference Library Book 121),,Kindle Edition,£111.60,https://m.media-amazon.com/images/I/61XxW8mb0fL._AC_UY218_.jpg
"Hands–On Machine Learning with Scikit–Learn, Keras, and TensorFlow 3e: Concepts, Tools, and Techniques to Build Intelligent Systems",,Paperback,£60.90,https://m.media-amazon.com/images/I/61BTcD-dCUL._AC_UY218_.jpg
Learning in Embedded Systems,5.0 out of 5 stars,Hardcover,£18.65,https://m.media-amazon.com/images/I/516YXY2AG0L._AC_UY218_.jpg
Sewing Machine Basics for Children: A fun step-by-step guide to machine sewing,,Paperback,£9.99,https://m.media-amazon.com/images/I/815npn61WcL._AC_UY218_.jpg
"Natural Language Processing with TensorFlow: The definitive NLP book to implement the most sought-after machine learning models and tasks, 2nd Edition",,Kindle Edition,£19.19,https://m.media-amazon.com/images/I/812X6TiRESL._AC_UY218_.jpg
"The Era of Artificial Intelligence, Machine Learning, and Data Science in the Pharmaceutical Industry",5.0 out of 5 stars,Paperback,£77.79,https://m.media-amazon.com/images/I/71aIdZbs2qS._AC_UY218_.jpg
Machine Learning in Biotechnology and Life Sciences: Build machine learning models using Python and deploy them on the cloud,3.6 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/51BrTtmwjGL._AC_UY218_.jpg
Practical Machine Learning in R,4.6 out of 5 stars,Paperback,£21.51,https://m.media-amazon.com/images/I/81bnDjqg2aL._AC_UY218_.jpg
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python",3.9 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/71GldgI0f-L._AC_UY218_.jpg
"Fundamentals of Machine Learning for Predictive Data Analytics, second edition: Algorithms, Worked Examples, and Case Studies",4.8 out of 5 stars,Kindle Edition,£41.49,https://m.media-amazon.com/images/I/81DUlI2ZSLL._AC_UY218_.jpg
Practical Machine Learning in JavaScript: TensorFlow.js for Web Developers,4.0 out of 5 stars,Paperback,£19.13,https://m.media-amazon.com/images/I/61XvkgfuibL._AC_UY218_.jpg
Learn Data Mining Through Excel: A Step-by-Step Approach for Understanding Machine Learning Methods,4.4 out of 5 stars,Paperback,£21.99,https://m.media-amazon.com/images/I/61-VD3Qer3L._AC_UY218_.jpg
Deep Learning Interviews: Hundreds of fully solved job interview questions from a wide range of key topics in AI.,3.9 out of 5 stars,Paperback,£13.66,https://m.media-amazon.com/images/I/61adOloLPKL._AC_UY218_.jpg
Machine Learning with Python for Everyone (Addison-Wesley Data & Analytics Series),4.6 out of 5 stars,Paperback,£27.21,https://m.media-amazon.com/images/I/51KWNCUbutL._AC_UY218_.jpg
The Black Technical Object: On Machine Learning and the Aspiration of Black Being (Sternberg Press / The Antipolitical),,Paperback,£16.50,https://m.media-amazon.com/images/I/71jfjgJrvXL._AC_UY218_.jpg
"Hands-On Machine Learning with Microsoft Excel 2019: Build complete data analysis flows, from data collection to visualization",4.3 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/81hZvWB2OiL._AC_UY218_.jpg
"Learning Vowels - A, E, I, O, U, Y - The Phonics Machine",,Prime Video,£1.99,https://m.media-amazon.com/images/I/81gFy3rT3qL._AC_UY218_.jpg
Graph-Powered Machine Learning,4.8 out of 5 stars,Paperback,£29.01,https://m.media-amazon.com/images/I/61FEpDu3uJL._AC_UY218_.jpg
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),4.1 out of 5 stars,Paperback,£40.54,https://m.media-amazon.com/images/I/61KEnd8DqOL._AC_UY218_.jpg
Blueprints for Text Analytics using Python: Machine Learning Based Solutions for Common Real World (NLP) Applications,4.8 out of 5 stars,Paperback,£35.29,https://m.media-amazon.com/images/I/91uU8BGFw3L._AC_UY218_.jpg
Machine Learning Cookbook with Python: Create ML and Data Analytics Projects Using Some Amazing Open Datasets (English Edition,4.4 out of 5 stars,Paperback,£20.57,https://m.media-amazon.com/images/I/71d8QMX3sHL._AC_UY218_.jpg
"Mastering Machine Learning on AWS: Advanced machine learning in Python using SageMaker, Apache Spark, and TensorFlow",4.2 out of 5 stars,Paperback,£26.99,https://m.media-amazon.com/images/I/61Z5tPulJdL._AC_UY218_.jpg
